Revise from: 1 A7741   Ehrlichiosis chafeensis [E. chafeensis]                      Ehrlichiosis chafeensis [E. chafeensis]
Add:         1 C83390  Primary central nervous system lymphoma                      Primary central nervous system lymphoma
Add:         1 C83398  Diffuse large B-cell lymph of extrnod and solid organ sites  Diffuse large B-cell lymphoma of other extranodal and solid organ sites
Add:         1 C833A   Diffuse large B-cell lymphoma, in remission                  Diffuse large B-cell lymphoma, in remission
Add:         1 C835A   Lymphoblastic (diffuse) lymphoma, in remission               Lymphoblastic (diffuse) lymphoma, in remission
Add:         1 C837A   Burkitt lymphoma, in remission                               Burkitt lymphoma, in remission
Add:         1 C838A   Other non-follicular lymphoma, in remission                  Other non-follicular lymphoma, in remission
Add:         1 C839A   Non-follicular (diffuse) lymphoma, unspecified, in remission Non-follicular (diffuse) lymphoma, unspecified, in remission
Add:         1 C840A   Mycosis fungoides, in remission                              Mycosis fungoides, in remission
Add:         1 C841A   Sezary disease, in remission                                 Sezary disease, in remission
Add:         1 C844A   Peripheral T-cell lymphoma, NEC, in remission                Peripheral T-cell lymphoma, not elsewhere classified, in remission
Add:         1 C846A   Anaplastic large cell lymphoma, ALK-positive, in remission   Anaplastic large cell lymphoma, ALK-positive, in remission
Add:         1 C847B   Anaplastic large cell lymphoma, ALK-negative, in remission   Anaplastic large cell lymphoma, ALK-negative, in remission
Add:         1 C849A   Mature T/NK-cell lymphomas, unspecified, in remission        Mature T/NK-cell lymphomas, unspecified, in remission
Add:         1 C84AA   Cutaneous T-cell lymphoma, unspecified, in remission         Cutaneous T-cell lymphoma, unspecified, in remission
Add:         1 C84ZA   Other mature T/NK-cell lymphomas, in remission               Other mature T/NK-cell lymphomas, in remission
Add:         1 C851A   Unspecified B-cell lymphoma, in remission                    Unspecified B-cell lymphoma, in remission
Add:         1 C852A   Mediastinal (thymic) large B-cell lymphoma, in remission     Mediastinal (thymic) large B-cell lymphoma, in remission
Add:         1 C858A   Other specified types of non-Hodgkin lymphoma, in remission  Other specified types of non-Hodgkin lymphoma, in remission
Add:         1 C859A   Non-Hodgkin lymphoma, unspecified, in remission              Non-Hodgkin lymphoma, unspecified, in remission
Delete:      1 C860    Extranodal NK/T-cell lymphoma, nasal type                    Extranodal NK/T-cell lymphoma, nasal type
Add:         0 C860    Extranodal NK/T-cell lymphoma, nasal type                    Extranodal NK/T-cell lymphoma, nasal type
Add:         1 C8600   Extranodal NK/T-cell lymphoma, nasal type not remission      Extranodal NK/T-cell lymphoma, nasal type not having achieved remission
Add:         1 C8601   Extranodal NK/T-cell lymphoma, nasal type, in remission      Extranodal NK/T-cell lymphoma, nasal type, in remission
Delete:      1 C861    Hepatosplenic T-cell lymphoma                                Hepatosplenic T-cell lymphoma
Add:         0 C861    Hepatosplenic T-cell lymphoma                                Hepatosplenic T-cell lymphoma
Add:         1 C8610   Hepatosplenic T-cell lymphoma not having achieved remission  Hepatosplenic T-cell lymphoma not having achieved remission
Add:         1 C8611   Hepatosplenic T-cell lymphoma, in remission                  Hepatosplenic T-cell lymphoma, in remission
Delete:      1 C862    Enteropathy-type (intestinal) T-cell lymphoma                Enteropathy-type (intestinal) T-cell lymphoma
Add:         0 C862    Enteropathy-type (intestinal) T-cell lymphoma                Enteropathy-type (intestinal) T-cell lymphoma
Add:         1 C8620   Enteropathy-type (intestinal) T-cell lymphoma not remission  Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission
Add:         1 C8621   Enteropathy-type (intestinal) T-cell lymphoma, in remission  Enteropathy-type (intestinal) T-cell lymphoma, in remission
Delete:      1 C863    Subcutaneous panniculitis-like T-cell lymphoma               Subcutaneous panniculitis-like T-cell lymphoma
Add:         0 C863    Subcutaneous panniculitis-like T-cell lymphoma               Subcutaneous panniculitis-like T-cell lymphoma
Add:         1 C8630   Subcutaneous panniculitis-like T-cell lymphoma not remission Subcutaneous panniculitis-like T-cell lymphoma not having achieved remission
Add:         1 C8631   Subcutaneous panniculitis-like T-cell lymphoma, in remission Subcutaneous panniculitis-like T-cell lymphoma, in remission
Delete:      1 C864    Blastic NK-cell lymphoma                                     Blastic NK-cell lymphoma
Add:         0 C864    Blastic NK-cell lymphoma                                     Blastic NK-cell lymphoma
Add:         1 C8640   Blastic NK-cell lymphoma not having achieved remission       Blastic NK-cell lymphoma not having achieved remission
Add:         1 C8641   Blastic NK-cell lymphoma, in remission                       Blastic NK-cell lymphoma, in remission
Delete:      1 C865    Angioimmunoblastic T-cell lymphoma                           Angioimmunoblastic T-cell lymphoma
Add:         0 C865    Angioimmunoblastic T-cell lymphoma                           Angioimmunoblastic T-cell lymphoma
Add:         1 C8650   Angioimmunoblastic T-cell lymphoma not achieve remission     Angioimmunoblastic T-cell lymphoma not having achieved remission
Add:         1 C8651   Angioimmunoblastic T-cell lymphoma, in remission             Angioimmunoblastic T-cell lymphoma, in remission
Delete:      1 C866    Primary cutaneous CD30-positive T-cell proliferations        Primary cutaneous CD30-positive T-cell proliferations
Add:         0 C866    Primary cutaneous CD30-positive T-cell proliferations        Primary cutaneous CD30-positive T-cell proliferations
Add:         1 C8660   Primary cutaneous CD30-positive T-cell prolif not remission  Primary cutaneous CD30-positive T-cell proliferations not having achieved remission
Add:         1 C8661   Primary cutaneous CD30-positive T-cell prolif, in remission  Primary cutaneous CD30-positive T-cell proliferations, in remission
Delete:      1 C880    Waldenstrom macroglobulinemia                                Waldenstrom macroglobulinemia
Add:         0 C880    Waldenstrom macroglobulinemia                                Waldenstrom macroglobulinemia
Add:         1 C8800   Waldenstrom macroglobulinemia not having achieved remission  Waldenstrom macroglobulinemia not having achieved remission
Add:         1 C8801   Waldenstrom macroglobulinemia, in remission                  Waldenstrom macroglobulinemia, in remission
Delete:      1 C882    Heavy chain disease                                          Heavy chain disease
Add:         0 C882    Heavy chain disease                                          Heavy chain disease
Add:         1 C8820   Heavy chain disease not having achieved remission            Heavy chain disease not having achieved remission
Add:         1 C8821   Heavy chain disease, in remission                            Heavy chain disease, in remission
Delete:      1 C883    Immunoproliferative small intestinal disease                 Immunoproliferative small intestinal disease
Add:         0 C883    Immunoproliferative small intestinal disease                 Immunoproliferative small intestinal disease
Add:         1 C8830   Immunoproliferative small intestinal disease not remission   Immunoproliferative small intestinal disease not having achieved remission
Add:         1 C8831   Immunoproliferative small intestinal disease, in remission   Immunoproliferative small intestinal disease, in remission
Delete:      1 C884    Extrnod mrgnl zn B-cell lymph of mucosa-assoc lymphoid tiss  Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
Add:         0 C884    Extrnod mrgnl zn B-cell lymph of mucosa-assoc lymphoid tiss  Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
Add:         1 C8840   Extrnod mrgnl B-cell lymph mucosa-assoc lym tiss not remis   Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma] not having achieved remission
Add:         1 C8841   Extrnod mrgnl B-cell lymph mucosa-assoc lym tiss, in remis   Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], in remission
Delete:      1 C888    Other malignant immunoproliferative diseases                 Other malignant immunoproliferative diseases
Add:         0 C888    Other malignant immunoproliferative diseases                 Other malignant immunoproliferative diseases
Add:         1 C8880   Other malignant immunoproliferative diseases not remission   Other malignant immunoproliferative diseases not having achieved remission
Add:         1 C8881   Other malignant immunoproliferative diseases, in remission   Other malignant immunoproliferative diseases, in remission
Delete:      1 C889    Malignant immunoproliferative disease, unspecified           Malignant immunoproliferative disease, unspecified
Add:         0 C889    Malignant immunoproliferative disease, unspecified           Malignant immunoproliferative disease, unspecified
Add:         1 C8890   Malignant immunoproliferative disease, unsp not remission    Malignant immunoproliferative disease, unspecified not having achieved remission
Add:         1 C8891   Malignant immunoproliferative disease, unsp, in remission    Malignant immunoproliferative disease, unspecified, in remission
Add:         1 D6103   Fanconi anemia                                               Fanconi anemia
Add:         0 E10A    Type 1 diabetes mellitus, presymptomatic                     Type 1 diabetes mellitus, presymptomatic
Add:         1 E10A0   Type 1 diabetes mellitus, presymptomatic, unspecified        Type 1 diabetes mellitus, presymptomatic, unspecified
Add:         1 E10A1   Type 1 diabetes mellitus, presymptomatic, Stage 1            Type 1 diabetes mellitus, presymptomatic, Stage 1
Add:         1 E10A2   Type 1 diabetes mellitus, presymptomatic, Stage 2            Type 1 diabetes mellitus, presymptomatic, Stage 2
Add:         0 E16A    Hypoglycemia level                                           Hypoglycemia level
Add:         1 E16A1   Hypoglycemia level 1                                         Hypoglycemia level 1
Add:         1 E16A2   Hypoglycemia level 2                                         Hypoglycemia level 2
Add:         1 E16A3   Hypoglycemia level 3                                         Hypoglycemia level 3
Delete:      1 E340    Carcinoid syndrome                                           Carcinoid syndrome
Add:         0 E340    Carcinoid syndrome                                           Carcinoid syndrome
Add:         1 E3400   Carcinoid syndrome, unspecified                              Carcinoid syndrome, unspecified
Add:         1 E3401   Carcinoid heart syndrome                                     Carcinoid heart syndrome
Add:         1 E3409   Other carcinoid syndrome                                     Other carcinoid syndrome
Delete:      1 E668    Other obesity                                                Other obesity
Add:         0 E668    Other obesity                                                Other obesity
Add:         0 E6681   Obesity class                                                Obesity class
Add:         1 E66811  Obesity, class 1                                             Obesity, class 1
Add:         1 E66812  Obesity, class 2                                             Obesity, class 2
Add:         1 E66813  Obesity, class 3                                             Obesity, class 3
Add:         1 E6689   Other obesity not elsewhere classified                       Other obesity not elsewhere classified
Add:         0 E7482   Disorders of citrate metabolism                              Disorders of citrate metabolism
Add:         1 E74820  SLC13A5 Citrate Transporter Disorder                         SLC13A5 Citrate Transporter Disorder
Add:         1 E74829  Other disorders of citrate metabolism                        Other disorders of citrate metabolism
Add:         1 E8882   Obesity due to disruption of MC4R pathway                    Obesity due to disruption of MC4R pathway
Delete:      1 F5001   Anorexia nervosa, restricting type                           Anorexia nervosa, restricting type
Add:         0 F5001   Anorexia nervosa, restricting type                           Anorexia nervosa, restricting type
Add:         1 F50010  Anorexia nervosa, restricting type, mild                     Anorexia nervosa, restricting type, mild
Add:         1 F50011  Anorexia nervosa, restricting type, moderate                 Anorexia nervosa, restricting type, moderate
Add:         1 F50012  Anorexia nervosa, restricting type, severe                   Anorexia nervosa, restricting type, severe
Add:         1 F50013  Anorexia nervosa, restricting type, extreme                  Anorexia nervosa, restricting type, extreme
Add:         1 F50014  Anorexia nervosa, restricting type, in remission             Anorexia nervosa, restricting type, in remission
Add:         1 F50019  Anorexia nervosa, restricting type, unspecified              Anorexia nervosa, restricting type, unspecified
Delete:      1 F5002   Anorexia nervosa, binge eating/purging type                  Anorexia nervosa, binge eating/purging type
Add:         0 F5002   Anorexia nervosa, binge eating/purging type                  Anorexia nervosa, binge eating/purging type
Add:         1 F50020  Anorexia nervosa, binge eating/purging type, mild            Anorexia nervosa, binge eating/purging type, mild
Add:         1 F50021  Anorexia nervosa, binge eating/purging type, moderate        Anorexia nervosa, binge eating/purging type, moderate
Add:         1 F50022  Anorexia nervosa, binge eating/purging type, severe          Anorexia nervosa, binge eating/purging type, severe
Add:         1 F50023  Anorexia nervosa, binge eating/purging type, extreme         Anorexia nervosa, binge eating/purging type, extreme
Add:         1 F50024  Anorexia nervosa, binge eating/purging type, in remission    Anorexia nervosa, binge eating/purging type, in remission
Add:         1 F50029  Anorexia nervosa, binge eating/purging type, unspecified     Anorexia nervosa, binge eating/purging type, unspecified
Delete:      1 F502    Bulimia nervosa                                              Bulimia nervosa
Add:         0 F502    Bulimia nervosa                                              Bulimia nervosa
Add:         1 F5020   Bulimia nervosa, unspecified                                 Bulimia nervosa, unspecified
Add:         1 F5021   Bulimia nervosa, mild                                        Bulimia nervosa, mild
Add:         1 F5022   Bulimia nervosa, moderate                                    Bulimia nervosa, moderate
Add:         1 F5023   Bulimia nervosa, severe                                      Bulimia nervosa, severe
Add:         1 F5024   Bulimia nervosa, extreme                                     Bulimia nervosa, extreme
Add:         1 F5025   Bulimia nervosa, in remission                                Bulimia nervosa, in remission
Delete:      1 F5081   Binge eating disorder                                        Binge eating disorder
Add:         0 F5081   Binge eating disorder                                        Binge eating disorder
Add:         1 F50810  Binge eating disorder, mild                                  Binge eating disorder, mild
Add:         1 F50811  Binge eating disorder, moderate                              Binge eating disorder, moderate
Add:         1 F50812  Binge eating disorder, severe                                Binge eating disorder, severe
Add:         1 F50813  Binge eating disorder, extreme                               Binge eating disorder, extreme
Add:         1 F50814  Binge eating disorder, in remission                          Binge eating disorder, in remission
Add:         1 F50819  Binge eating disorder, unspecified                           Binge eating disorder, unspecified
Add:         1 F5083   Pica in adults                                               Pica in adults
Add:         1 F5084   Rumination disorder in adults                                Rumination disorder in adults
Revise from: 1 F9821   Rumination disorder of infancy                               Rumination disorder of infancy
Revise to:   1 F9821   Rumination disorder of infancy and childhood                 Rumination disorder of infancy and childhood
Add:         0 G4084   KCNQ2-related epilepsy                                       KCNQ2-related epilepsy
Add:         1 G40841  KCNQ2-related epilepsy, not intractable, with stat epi       KCNQ2-related epilepsy, not intractable, with status epilepticus
Add:         1 G40842  KCNQ2-related epilepsy, not intractable, without stat epi    KCNQ2-related epilepsy, not intractable, without status epilepticus
Add:         1 G40843  KCNQ2-related epilepsy, intractable, with status epilepticus KCNQ2-related epilepsy, intractable, with status epilepticus
Add:         1 G40844  KCNQ2-related epilepsy, intractable, without stat epi        KCNQ2-related epilepsy, intractable, without status epilepticus
Delete:      1 G908    Other disorders of autonomic nervous system                  Other disorders of autonomic nervous system
Add:         0 G908    Other disorders of autonomic nervous system                  Other disorders of autonomic nervous system
Add:         1 G9081   Serotonin syndrome                                           Serotonin syndrome
Add:         1 G9089   Other disorders of autonomic nervous system                  Other disorders of autonomic nervous system
Revise from: 1 G9342   Megaloencephalic leukoencephalopathy with subcortical cysts  Megaloencephalic leukoencephalopathy with subcortical cysts
Revise to:   1 G9342   Megalencephalic leukoencephalopathy with subcortical cysts   Megalencephalic leukoencephalopathy with subcortical cysts
Add:         1 G9345   Developmental and epileptic encephalopathy                   Developmental and epileptic encephalopathy
Revise from: 1 H442A3  Degeneratv myopia with choroidal neovascularization, bi eye  Degenerative myopia with choroidal neovascularization, bilateral eye
Revise to:   1 H442A3  Degeneratv myopia with choroidal neovascularization, bi      Degenerative myopia with choroidal neovascularization, bilateral
Revise from: 1 H442B3  Degenerative myopia with macular hole, bilateral eye         Degenerative myopia with macular hole, bilateral eye
Revise to:   1 H442B3  Degenerative myopia with macular hole, bilateral             Degenerative myopia with macular hole, bilateral
Revise from: 1 H442C3  Degenerative myopia with retinal detachment, bilateral eye   Degenerative myopia with retinal detachment, bilateral eye
Revise to:   1 H442C3  Degenerative myopia with retinal detachment, bilateral       Degenerative myopia with retinal detachment, bilateral
Revise from: 1 H442D3  Degenerative myopia with foveoschisis, bilateral eye         Degenerative myopia with foveoschisis, bilateral eye
Revise to:   1 H442D3  Degenerative myopia with foveoschisis, bilateral             Degenerative myopia with foveoschisis, bilateral
Revise from: 1 H442E3  Degenerative myopia with other maculopathy, bilateral eye    Degenerative myopia with other maculopathy, bilateral eye
Revise to:   1 H442E3  Degenerative myopia with other maculopathy, bilateral        Degenerative myopia with other maculopathy, bilateral
Add:         1 I2603   Cement embolism of pulmonary artery with acute cor pulmonale Cement embolism of pulmonary artery with acute cor pulmonale
Add:         1 I2604   Fat embolism of pulmonary artery with acute cor pulmonale    Fat embolism of pulmonary artery with acute cor pulmonale
Revise from: 1 I2693   Single subsegmental pulmon emblsm w/o acute cor pulmonale    Single subsegmental pulmonary embolism without acute cor pulmonale
Revise to:   1 I2693   Sing subsegmental throm pulm emblsm w/o acute cor pulmonale  Single subsegmental thrombotic pulmonary embolism without acute cor pulmonale
Revise from: 1 I2694   Mult subsegmental pulmon emboli without acute cor pulmonale  Multiple subsegmental pulmonary emboli without acute cor pulmonale
Revise to:   1 I2694   Mult subsegmental throm pulm emboli w/o acute cor pulmonale  Multiple subsegmental thrombotic pulmonary emboli without acute cor pulmonale
Add:         1 I2695   Cement embolism of pulm artery without acute cor pulmonale   Cement embolism of pulmonary artery without acute cor pulmonale
Add:         1 I2696   Fat embolism of pulmonary artery without acute cor pulmonale Fat embolism of pulmonary artery without acute cor pulmonale
Add:         0 J3482   Nasal valve collapse                                         Nasal valve collapse
Add:         0 J34820  Internal nasal valve collapse                                Internal nasal valve collapse
Add:         1 J348200 Internal nasal valve collapse, unspecified                   Internal nasal valve collapse, unspecified
Add:         1 J348201 Internal nasal valve collapse, static                        Internal nasal valve collapse, static
Add:         1 J348202 Internal nasal valve collapse, dynamic                       Internal nasal valve collapse, dynamic
Add:         0 J34821  External nasal valve collapse                                External nasal valve collapse
Add:         1 J348210 External nasal valve collapse, unspecified                   External nasal valve collapse, unspecified
Add:         1 J348211 External nasal valve collapse, static                        External nasal valve collapse, static
Add:         1 J348212 External nasal valve collapse, dynamic                       External nasal valve collapse, dynamic
Add:         1 J34829  Nasal valve collapse, unspecified                            Nasal valve collapse, unspecified
Revise from: 1 K589    Irritable bowel syndrome without diarrhea                    Irritable bowel syndrome without diarrhea
Revise to:   1 K589    Irritable bowel syndrome, unspecified                        Irritable bowel syndrome, unspecified
Delete:      1 K603    Anal fistula                                                 Anal fistula
Add:         0 K603    Anal fistula                                                 Anal fistula
Add:         1 K6030   Anal fistula, unspecified                                    Anal fistula, unspecified
Add:         0 K6031   Anal fistula, simple                                         Anal fistula, simple
Add:         1 K60311  Anal fistula, simple, initial                                Anal fistula, simple, initial
Add:         1 K60312  Anal fistula, simple, persistent                             Anal fistula, simple, persistent
Add:         1 K60313  Anal fistula, simple, recurrent                              Anal fistula, simple, recurrent
Add:         1 K60319  Anal fistula, simple, unspecified                            Anal fistula, simple, unspecified
Add:         0 K6032   Anal fistula, complex                                        Anal fistula, complex
Add:         1 K60321  Anal fistula, complex, initial                               Anal fistula, complex, initial
Add:         1 K60322  Anal fistula, complex, persistent                            Anal fistula, complex, persistent
Add:         1 K60323  Anal fistula, complex, recurrent                             Anal fistula, complex, recurrent
Add:         1 K60329  Anal fistula, complex, unspecified                           Anal fistula, complex, unspecified
Delete:      1 K604    Rectal fistula                                               Rectal fistula
Add:         0 K604    Rectal fistula                                               Rectal fistula
Add:         1 K6040   Rectal fistula, unspecified                                  Rectal fistula, unspecified
Add:         0 K6041   Rectal fistula, simple                                       Rectal fistula, simple
Add:         1 K60411  Rectal fistula, simple, initial                              Rectal fistula, simple, initial
Add:         1 K60412  Rectal fistula, simple, persistent                           Rectal fistula, simple, persistent
Add:         1 K60413  Rectal fistula, simple, recurrent                            Rectal fistula, simple, recurrent
Add:         1 K60419  Rectal fistula, simple, unspecified                          Rectal fistula, simple, unspecified
Add:         0 K6042   Rectal fistula, complex                                      Rectal fistula, complex
Add:         1 K60421  Rectal fistula, complex, initial                             Rectal fistula, complex, initial
Add:         1 K60422  Rectal fistula, complex, persistent                          Rectal fistula, complex, persistent
Add:         1 K60423  Rectal fistula, complex, recurrent                           Rectal fistula, complex, recurrent
Add:         1 K60429  Rectal fistula, complex, unspecified                         Rectal fistula, complex, unspecified
Delete:      1 K605    Anorectal fistula                                            Anorectal fistula
Add:         0 K605    Anorectal fistula                                            Anorectal fistula
Add:         1 K6050   Anorectal fistula, unspecified                               Anorectal fistula, unspecified
Add:         0 K6051   Anorectal fistula, simple                                    Anorectal fistula, simple
Add:         1 K60511  Anorectal fistula, simple, initial                           Anorectal fistula, simple, initial
Add:         1 K60512  Anorectal fistula, simple, persistent                        Anorectal fistula, simple, persistent
Add:         1 K60513  Anorectal fistula, simple, recurrent                         Anorectal fistula, simple, recurrent
Add:         1 K60519  Anorectal fistula, simple, unspecified                       Anorectal fistula, simple, unspecified
Add:         0 K6052   Anorectal fistula, complex                                   Anorectal fistula, complex
Add:         1 K60521  Anorectal fistula, complex, initial                          Anorectal fistula, complex, initial
Add:         1 K60522  Anorectal fistula, complex, persistent                       Anorectal fistula, complex, persistent
Add:         1 K60523  Anorectal fistula, complex, recurrent                        Anorectal fistula, complex, recurrent
Add:         1 K60529  Anorectal fistula, complex, unspecified                      Anorectal fistula, complex, unspecified
Delete:      1 L298    Other pruritus                                               Other pruritus
Add:         0 L298    Other pruritus                                               Other pruritus
Add:         1 L2981   Cholestatic pruritus                                         Cholestatic pruritus
Add:         1 L2989   Other pruritus                                               Other pruritus
Delete:      1 L661    Lichen planopilaris                                          Lichen planopilaris
Add:         0 L661    Lichen planopilaris                                          Lichen planopilaris
Add:         1 L6610   Lichen planopilaris, unspecified                             Lichen planopilaris, unspecified
Add:         1 L6611   Classic lichen planopilaris                                  Classic lichen planopilaris
Add:         1 L6612   Frontal fibrosing alopecia                                   Frontal fibrosing alopecia
Add:         1 L6619   Other lichen planopilaris                                    Other lichen planopilaris
Delete:      1 L668    Other cicatricial alopecia                                   Other cicatricial alopecia
Add:         0 L668    Other cicatricial alopecia                                   Other cicatricial alopecia
Add:         1 L6681   Central centrifugal cicatricial alopecia                     Central centrifugal cicatricial alopecia
Add:         1 L6689   Other cicatricial alopecia                                   Other cicatricial alopecia
Delete:      1 M5136   Other intervertebral disc degeneration, lumbar region        Other intervertebral disc degeneration, lumbar region
Add:         0 M5136   Other intervertebral disc degeneration, lumbar region        Other intervertebral disc degeneration, lumbar region
Add:         1 M51360  Other intvrt disc degen, lum rgn with discog back pain only  Other intervertebral disc degeneration, lumbar region with discogenic back pain only
Add:         1 M51361  Other intvrt disc degen, lum region with low extrm pain only Other intervertebral disc degeneration, lumbar region with lower extremity pain only
Add:         1 M51362  Oth intvrt disc degen, lum rgn w discog bck & lw extrm pain  Other intervertebral disc degeneration, lumbar region with discogenic back pain and lower extremity pain
Add:         1 M51369  Oth intvrt disc degen, lum rgn w/o lum bck or lw extrm pain  Other intervertebral disc degeneration, lumbar region without mention of lumbar back pain or lower extremity pain
Delete:      1 M5137   Other intervertebral disc degeneration, lumbosacral region   Other intervertebral disc degeneration, lumbosacral region
Add:         0 M5137   Other intervertebral disc degeneration, lumbosacral region   Other intervertebral disc degeneration, lumbosacral region
Add:         1 M51370  Oth intvrt disc degen, lumbosacr rgn w discog bck pain only  Other intervertebral disc degeneration, lumbosacral region with discogenic back pain only
Add:         1 M51371  Oth intvrt disc degen, lumbosacr rgn w low extrm pain only   Other intervertebral disc degeneration, lumbosacral region with lower extremity pain only
Add:         1 M51372  Oth intvrt disc degen, lumbosacr w discog bck & lw extrm pn  Other intervertebral disc degeneration, lumbosacral region with discogenic back pain and lower extremity pain
Add:         1 M51379  Oth intvrt disc degen, lumbosacr w/o lum bck or lw extrm pn  Other intervertebral disc degeneration, lumbosacral region without mention of lumbar back pain or lower extremity pain
Add:         1 M6285   Dysfunction of the multifidus muscles, lumbar region         Dysfunction of the multifidus muscles, lumbar region
Delete:      1 M659    Synovitis and tenosynovitis, unspecified                     Synovitis and tenosynovitis, unspecified
Add:         0 M659    Synovitis and tenosynovitis, unspecified                     Synovitis and tenosynovitis, unspecified
Add:         1 M6590   Unspecified synovitis and tenosynovitis, unspecified site    Unspecified synovitis and tenosynovitis, unspecified site
Add:         0 M6591   Unspecified synovitis and tenosynovitis, shoulder            Unspecified synovitis and tenosynovitis, shoulder
Add:         1 M65911  Unspecified synovitis and tenosynovitis, right shoulder      Unspecified synovitis and tenosynovitis, right shoulder
Add:         1 M65912  Unspecified synovitis and tenosynovitis, left shoulder       Unspecified synovitis and tenosynovitis, left shoulder
Add:         1 M65919  Unsp synovitis and tenosynovitis, unspecified shoulder       Unspecified synovitis and tenosynovitis, unspecified shoulder
Add:         0 M6592   Unspecified synovitis and tenosynovitis, upper arm           Unspecified synovitis and tenosynovitis, upper arm
Add:         1 M65921  Unspecified synovitis and tenosynovitis, right upper arm     Unspecified synovitis and tenosynovitis, right upper arm
Add:         1 M65922  Unspecified synovitis and tenosynovitis, left upper arm      Unspecified synovitis and tenosynovitis, left upper arm
Add:         1 M65929  Unsp synovitis and tenosynovitis, unspecified upper arm      Unspecified synovitis and tenosynovitis, unspecified upper arm
Add:         0 M6593   Unspecified synovitis and tenosynovitis, forearm             Unspecified synovitis and tenosynovitis, forearm
Add:         1 M65931  Unspecified synovitis and tenosynovitis, right forearm       Unspecified synovitis and tenosynovitis, right forearm
Add:         1 M65932  Unspecified synovitis and tenosynovitis, left forearm        Unspecified synovitis and tenosynovitis, left forearm
Add:         1 M65939  Unspecified synovitis and tenosynovitis, unspecified forearm Unspecified synovitis and tenosynovitis, unspecified forearm
Add:         0 M6594   Unspecified synovitis and tenosynovitis, hand                Unspecified synovitis and tenosynovitis, hand
Add:         1 M65941  Unspecified synovitis and tenosynovitis, right hand          Unspecified synovitis and tenosynovitis, right hand
Add:         1 M65942  Unspecified synovitis and tenosynovitis, left hand           Unspecified synovitis and tenosynovitis, left hand
Add:         1 M65949  Unspecified synovitis and tenosynovitis, unspecified hand    Unspecified synovitis and tenosynovitis, unspecified hand
Add:         0 M6595   Unspecified synovitis and tenosynovitis, thigh               Unspecified synovitis and tenosynovitis, thigh
Add:         1 M65951  Unspecified synovitis and tenosynovitis, right thigh         Unspecified synovitis and tenosynovitis, right thigh
Add:         1 M65952  Unspecified synovitis and tenosynovitis, left thigh          Unspecified synovitis and tenosynovitis, left thigh
Add:         1 M65959  Unspecified synovitis and tenosynovitis, unspecified thigh   Unspecified synovitis and tenosynovitis, unspecified thigh
